:START_ID,:TYPE,:END_ID
301,PART_OF,30
302,PART_OF,30
303,PART_OF,30
304,PART_OF,30
305,PART_OF,30

301,MESSAGES,301

302,MESSAGES,302
302,MESSAGES,302

303,MESSAGES,303
303,MESSAGES,303
303,MESSAGES,303

304,MESSAGES,304
304,MESSAGES,304
304,MESSAGES,304
304,MESSAGES,304
304,MESSAGES,304
304,MESSAGES,304
304,MESSAGES,304
304,MESSAGES,304
304,MESSAGES,304
304,MESSAGES,304
304,MESSAGES,304
304,MESSAGES,304

305,MESSAGES,301
305,MESSAGES,302
305,MESSAGES,302
305,MESSAGES,303
305,MESSAGES,303
305,MESSAGES,303
305,MESSAGES,304
305,MESSAGES,304
305,MESSAGES,304
305,MESSAGES,304
